State,Wiki_name_long,Wiki_name,Station Identifier,Channel Number,AM/FM,Dataset,Link
California,Los Angeles,Los Angeles,KPCC,89.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,Los Angeles,Los Angeles,KCRW,89.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,Los Angeles,Los Angeles,KUSC,91.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"McCloud, California",McCloud,KLDD,91.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Mendocino, California",Mendocino,KPMO,1300,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Mojave, California",Mojave,KCRY,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Morro Bay, California",Morro Bay,KESC,99.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Mount Shasta, California",Mount Shasta,KMJC,620,AM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Mount Shasta, California",Mount Shasta,KNSQ,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"North Highlands, California",North Highlands,KQEI,89.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Northridge, California",Northridge,KCSN,88.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Oxnard, California",Oxnard,KCRU,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Palm Springs, California",Palm Springs,KPSC,88.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Pasadena, California",Pasadena,KPCC,89.3,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Philo, California",Philo,KZYX,90.7,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Quincy, California",Quincy,KQNC,88.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Redding, California",Redding,KFPR,88.9,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Redlands, California",Redlands,KUOR,89.1,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
California,"Rio Dell, California",Rio Dell,KNHT,102.5,FM,Wikipedia,https://en.wikipedia.org/wiki/List_of_NPR_stations
