Twitter,City,State,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate
Twitter,Chicago,Illinois,WBEZ,FM,91.5,@wbez,
Twitter,DeKalb,Illinois,WNIU,FM,90.5,@classicalwniu,
Twitter,Edwardsville,Illinois,WSIE,FM,88.7,@wsie887thesound,
Twitter,Freeport,Illinois,WNIE,FM,89.1,None,
Twitter,LaSalle,Illinois,WNIW,FM,91.5,@tristatespr,
Twitter,Macomb,Illinois,WIUM,FM,91.3,@tristatespr,
Twitter,Mt.Vernon,Illinois,WVSI,FM,88.9,@wsiuradio,
Twitter,Normal,Illinois,WGLT,FM,89.1,@wgltnews,
Twitter,Olney,Illinois,WUSI,FM,90.3,@wsiuradio,
Twitter,Peoria,Illinois,WCBU,FM,89.9,@WCBURadio,
Twitter,Pittsfield,Illinois,WIPA,FM,89.3,@wqub,
Twitter,Quincy,Illinois,WQUB,FM,90.3,None,
Twitter,Rock Island,Illinois,WVIK,FM,90.3,@wvikfm,
Twitter,Rockford,Illinois,WNIJ,FM,89.5,@wnijnews,
Twitter,Springfield,Illinois,WUIS,FM,91.9,@nprillinois,
Twitter,Sterling,Illinois,WNIQ,FM,91.5,@wnijnews,
Twitter,Urbana,Illinois,WILL,AM,580,@willpublicmedia,
Twitter,Urbana,Illinois,WILL,FM,90.9,@willpublicmedia,
Twitter,Warsaw,Illinois,WIUW,FM,89.5,None,
Twitter,Anderson,Indiana,WBSB,FM,89.5,@INPublicRadio,
Twitter,Bloomington,Indiana,WFIU,FM,103.7,@wfiu,
Twitter,Elkhart,Indiana,WVPE,FM,88.1,@wvpe,
Twitter,Evansville,Indiana,WNIN,FM,88.3,@WNIN,
Twitter,Fort Wayne,Indiana,WBNI,FM,89.1,@WBNI941,
Twitter,Goshen,Indiana,WGCS,FM,91.1,@911TheGlobe,
Twitter,Hagerstown,Indiana,WBSH,FM,91.1,@INPublicRadio,
Twitter,Indianapolis,Indiana,WFYI,FM,90.1,@wfyi,
Twitter,Lafayette,Indiana,WBAA,AM,920,@wbaanews,@wbaaradio
Twitter,Marion,Indiana,WBSW,FM,90.9,@INPublicRadio,
Twitter,Muncie,Indiana,WBST,FM,92.1,@INPublicRadio,
Twitter,North Manchester,Indiana,WBKE,FM,89.5,None,
Twitter,Orland,Indiana,WBOI,FM,91.3,@wboi,
Twitter,Portland,Indiana,WBSJ,FM,91.7,@INpublicradio,
Twitter,Richmond,Indiana,WVXR,FM,89.3,None,
Twitter,West Lafayette,Indiana,WBAA,FM,101.3,@wbaaradio,@wbaanews
Twitter,Ames,Iowa,WOI,AM,640,@iowapublicradio,
Twitter,Ames,Iowa,WOI,FM,90.1,@iowapublicradio,
Twitter,Cedar Falls,Iowa,KUNI,FM,90.9,@iowapublicradio,
Twitter,Cedar Rapids,Iowa,KCCK,FM,88.3,@jazz883kcck,
Twitter,Decorah,Iowa,KLNI,FM,88.7,None,
Twitter,Fort Dodge,Iowa,KTPR,FM,91.1,None,
Twitter,Iowa City,Iowa,WSUI,AM,910,@iowapublicradio,
Twitter,Iowa City,Iowa,KSUI,FM,91.7,@iowapublicradio,
Twitter,Mason City,Iowa,KRNI,AM,1010,@iowapublicradio,
Twitter,Mason City,Iowa,KUNY,FM,91.5,None,
Twitter,Sioux City,Iowa,KWIT,FM,90.3,@kwitkoji,
Twitter,Emporia,Kansas,KANH,FM,89.7,@kprnews,
Twitter,Garden City,Kansas,KANZ,FM,91.1,@hppr,
Twitter,Great Bend,Kansas,KHCT,FM,90.9,None,
Twitter,Hill City,Kansas,KZNA,FM,90.5,@hppr,
Twitter,Hutchinson,Kansas,KHCC,FM,90.1,@radiokansas,
Twitter,Lawrence,Kansas,KANU,FM,91.5,@kprnews,
Twitter,Pittsburg,Kansas,KRPS,FM,89.9,@krps899,
Twitter,Salina,Kansas,KHCD,FM,89.5,@radiokansas,
Twitter,Wichita,Kansas,KMUW,FM,89.1,@kmuw,
Twitter,Booneville,Kentucky,WOCS,FM,88.3,None,
Twitter,Bowling Green,Kentucky,WKYU,FM,88.9,@wkupublicradio,
Twitter,Elizabethtown,Kentucky,WKUE,FM,90.9,@wkupublicradio,
Twitter,Georgetown,Kentucky,WRVG,FM,89.9,@wrvg,
Twitter,Hazard,Kentucky,WEKH,FM,90.9,None,
Twitter,Henderson,Kentucky,WKPB,FM,89.5,@wkupublicradio,
Twitter,Highland Heights,Kentucky,WNKU,FM,89.7,@wnku,
Twitter,Lexington,Kentucky,WUKY,FM,91.3,@wuky,
Twitter,Louisville,Kentucky,WFPK,FM,91.9,@wfpk,
Twitter,Louisville,Kentucky,WFPL,FM,89.3,@wfplnews,
Twitter,Morehead,Kentucky,WMKY,FM,90.3,@mspr903fm,
Twitter,Murray,Kentucky,WKMS,FM,91.3,@wkms,
Twitter,Richmond,Kentucky,WEKU,FM,88.9,@889weku,
Twitter,Somerset,Kentucky,WDCL,FM,89.7,@wkupublicradio,
Twitter,Alexandria,Louisana,KLSA,FM,90.7,@rrrpublicradio,
Twitter,Baton Rouge,Louisana,WBRH,FM,90.3,@talk1073,
Twitter,Baton Rouge,Louisana,WRKF,FM,89.3,@wrkf,
Twitter,Lafayette,Louisana,KRVS,FM,88.7,@krvsmedia,
Twitter,Monroe,Louisana,KEDM,FM,90.3,@kedmpublicradio,
Twitter,New Orleans,Louisana,WWNO,FM,89.9,@wwno,
Twitter,Shreveport,Louisana,KDAQ,FM,89.9,@rrrpublicradio,
Twitter,Thibodaux,Louisana,KTLN,FM,90.5,@wwno,
Twitter,Bangor,Maine,WMEH,FM,90.9,@MainePublic,
Twitter,Calais,Maine,WMED,FM,89.7,@MainePublic,
Twitter,Fort Kent,Maine,WMEF,FM,106.5,None,
Twitter,Lewiston,Maine,WMEA,FM,90.1,@MPBNnews,
Twitter,Presque Isle,Maine,WMEM,FM,106.1,@mainepublic,
Twitter,Waterville,Maine,WMEW,FM,91.3,@mainepublic,
Twitter,Baltimore,Maryland,WEAA,FM,88.9,None,
Twitter,Baltimore,Maryland,WYPR,FM,88.1,@wypr881FM,
Twitter,Frostburg,Maryland,WFWM,FM,91.9,@xfsrfrostburg,
Twitter,Hagerstown,Maryland,WETH,FM,89.1,None,
Twitter,Ocean City,Maryland,WSDL,FM,90.7,@wscl_wsdl,
Twitter,Princess Anne,Maryland,WESM,FM,91.3,None,
Twitter,Salisbury,Maryland,WSCL,FM,89.5,@wscl_wsdl,
Twitter,Worton,Maryland,WKHS,FM,90.5,@wkhsradio,
Twitter,Amherst,Massachusetts,WFCR,FM,88.5,@wfcr885,
Twitter,Amherst,Massachusetts,WPNI,AM,1430,None,
Twitter,Boston,Massachusetts,WBUR,FM,90.9,@WBUR,
Twitter,Boston,Massachusetts,WGBH,FM,89.7,@wgbh,
Twitter,Boston,Massachusetts,WUMB,FM,91.9,@wumbradio,
Twitter,Falmouth,Massachusetts,WFPB,FM,91.9,@wumbradio,
Twitter,Great Barrington,Massachusetts,WAMQ,FM,105.1,@wamcradio,
Twitter,Harwich,Massachusetts,WCCT,FM,90.3,None,
Twitter,Nantucket,Massachusetts,WNAN,FM,91.1,None,
Twitter,Newburyport,Massachusetts,WNAF,FM,91.7,@wumbradio,
Twitter,Orleans,Massachusetts,WFPB,AM,1170,@wumbradio,
Twitter,Sandwich,Massachusetts,WSDH,FM,91.5,@WSDHradio,
Twitter,W.Yarmouth,Massachusetts,WBUR,AM,1240,@wbur,
Twitter,Woods Hole,Massachusetts,WCAI,FM,90.1,@wcai_npr,
Twitter,Worcester,Massachusetts,WBPR,FM,91.9,@wumbradio,
Twitter,Worcester,Massachusetts,WICN,FM,90.5,@WICN905,
Twitter,Allendale,Michigan,WGVU,FM,88.5,@WGVUPublicMedia,
Twitter,Alpena,Michigan,WCML,FM,91.7,@wcmunews,
Twitter,Ann Arbor,Michigan,WUOM,FM,91.7,@MichiganRadio,
Twitter,Bay City,Michigan,WUCX,FM,90.1,@wucx,
Twitter,Detroit,Michigan,WDET,FM,101.9,@wdet,
Twitter,East Jordan,Michigan,WIZY,FM,100.9,None,
Twitter,East Lansing,Michigan,WKAR,AM,870,@wkar,
Twitter,East Lansing,Michigan,WKAR,FM,90.5,@wkar,
Twitter,Flint,Michigan,WFUM,FM,91.1,@michiganradio,
Twitter,Grand Rapids,Michigan,WBLU,FM,88.9,None,
Twitter,Grand Rapids,Michigan,WVGR,FM,104.1,@michiganradio,
Twitter,Harbor Springs,Michigan,WCMW,FM,103.9,@wcmunews,
Twitter,Houghton,Michigan,WGGL,FM,91.9,None,
Twitter,Interlochen,Michigan,WIAA,FM,88.7,@IPRNewsRadio,
Twitter,Kalamazoo,Michigan,WMUK,FM,102.1,@wmuk1021,
Twitter,Kentwood,Michigan,WGVU,AM,1480,@WGVUPublicMedia,
Twitter,Lansing,Michigan,WLNZ,FM,89.7,@LCCRadio,
Twitter,Manistee,Michigan,WVXM,FM,97.7,None,
Twitter,Marquette,Michigan,WNMU,FM,90.1,@WNMU,
Twitter,Mt. Pleasant,Michigan,WCMU,FM,89.5,@WCMUNews,@WCMUTV
Twitter,Muskegon,Michigan,WGVS,AM,850,None,
Twitter,Oscoda,Michigan,WCMB,FM,95.7,None,
Twitter,Rogers City,Michigan,WVXA,FM,96.7,None,
Twitter,Sault Ste. Marie,Michigan,WCMZ,FM,98.3,@wcmunews,@wcmutv
Twitter,Standish,Michigan,WWCM,FM,96.9,None,
Twitter,Traverse City,Michigan,WICA,FM,91.5,@iprnewsradio,
Twitter,Twin Lake,Michigan,WBLV,FM,90.3,None,
Twitter,Whitehall,Michigan,WGVS,FM,95.3,None,
Twitter,Ypsilanti,Michigan,WEMU,FM,89.1,@wemu891,
Twitter,Appleton,Minnesota,KNCM,FM,88.5,@mprnews,
Twitter,Bemidji,Minnesota,KNBJ,FM,91.3,@mprnews,
Twitter,Brainerd,Minnesota,KBPR,FM,90.7,None,
Twitter,Buhl,Minnesota,WIRN,FM,92.5,@mprnews,
Twitter,Collegeville,Minnesota,KNSR,FM,88.9,@mprnews,
Twitter,Duluth,Minnesota,WSCN,FM,100.5,@mprnews,
Twitter,Grand Rapids,Minnesota,KAXE,FM,91.7,@KAXE,
Twitter,La Crescent,Minnesota,KXLC,FM,91.1,@mprnews,
Twitter,Moorhead,Minnesota,KCCD,FM,90.3,@mprnews,
Twitter,Northfield,Minnesota,WCAL,FM,89.3,@mprnews,
Twitter,Rochester,Minnesota,KMSE,FM,88.7,@mprnews,
Twitter,Rochester,Minnesota,KZSE,FM,90.7,@mprnews,
Twitter,St. Paul,Minnesota,KNOW,FM,91.1,@mprnews,
Twitter,St. Peters,Minnesota,KNGA,FM,91.5,@mprnews,
Twitter,Thief River Falls,Minnesota,KNTN,FM,102.7,@TRFRADIO,
Twitter,Worthington,Minnesota,KNSW,FM,91.7,@mprnews,
Twitter,Biloxi,Mississippi,WMAH,FM,90.3,@mpbonline,
Twitter,Booneville,Mississippi,WMAE,FM,89.5,,
Twitter,Bude,Mississippi,WMAU,FM,88.9,,
Twitter,Greenwood,Mississippi,WMAO,FM,90.9,,
Twitter,Holly Springs,Mississippi,WURC,FM,88.1,,
Twitter,Jackson,Mississippi,WJSU,FM,88.5,,
Twitter,Jackson,Mississippi,WMPN,FM,91.3,@MPBNews,@MPBOnline
Twitter,Lorman,Mississippi,WPRL,FM,91.7,@mpbonline,
Twitter,Meridian,Mississippi,WMAW,FM,88.1,@mpbonline,
Twitter,Mississippi State,Mississippi,WMAB,FM,89.9,,
Twitter,Oxford,Mississippi,WMAV,FM,90.3,@mpbonline,
Twitter,Senatobia,Mississippi,WKNA,FM,88.9,,
Twitter,Branson,Missouri,KSMS,FM,90.5,,
Twitter,Cape Girardeau,Missouri,KRCU,FM,90.9,@krcufm,
Twitter,Chillicothe,Missouri,KRNW,FM,88.9,,
Twitter,Columbia,Missouri,KBIA,FM,91.3,@kbia,
Twitter,Columbia,Missouri,KOPN,FM,89.5,@kopnfm,
Twitter,Kansas City,Missouri,KCUR,FM,89.3,@kcur,
Twitter,Maryville,Missouri,KXCV,FM,90.5,@kxcvkrnw,
Twitter,Rolla,Missouri,KUMR,FM,88.5,,
Twitter,Springfield,Missouri,KSMU,FM,91.1,,
Twitter,St. Louis,Missouri,KWMU,FM,90.7,,
Twitter,Warrensburg,Missouri,KTBG,FM,90.9,,
Twitter,Billings,Montana,KEMC,FM,91.7,,
