,State,Agency name,Latitude,Longitude,2012 Crimes,2013 Crimes,2014 Crimes,2015 Crimes,2016 Crimes,Total Crimes
156,California,Coachella,33.6803003,-116.173894,0.0,0.0,0.0,1.0,0.0,1.0
157,California,Coalinga,36.139678,-120.3601496,0.0,0.0,1.0,0.0,0.0,1.0
158,California,Colton,34.0739016,-117.3136547,1.0,1.0,0.0,1.0,0.0,3.0
159,California,Colusa,39.2143343,-122.0094175,0.0,0.0,1.0,0.0,0.0,1.0
160,California,Commerce,34.0005691,-118.1597929,0.0,0.0,0.0,0.0,0.0,0.0
161,California,Compton,33.8958492,-118.2200712,1.0,1.0,3.0,1.0,0.0,6.0
162,California,Concord,37.9779776,-122.0310733,0.0,1.0,0.0,4.0,1.0,6.0
163,California,Contra Costa,37.8534093,-121.9017954,1.0,0.0,0.0,0.0,0.0,1.0
164,California,Corcoran,36.098007,-119.5604015,0.0,1.0,0.0,0.0,0.0,1.0
165,California,Corona,33.8752935,-117.5664384,2.0,1.0,0.0,0.0,0.0,3.0
166,California,Coronado,32.6858853,-117.1830891,1.0,1.0,0.0,0.0,0.0,2.0
167,California,Costa Mesa,33.6412156,-117.9188221,0.0,1.0,0.0,0.0,0.0,1.0
168,California,Covina,34.0900091,-117.8903397,3.0,2.0,0.0,1.0,0.0,6.0
169,California,Cudahy,33.9605701,-118.1853486,0.0,0.0,0.0,0.0,0.0,0.0
170,California,Culver City,34.0211224,-118.3964665,0.0,0.0,0.0,0.0,0.0,0.0
171,California,Cupertino,37.3229978,-122.0321823,3.0,0.0,1.0,0.0,3.0,7.0
172,California,Cypress,33.8169366,-118.0368507,1.0,1.0,0.0,2.0,0.0,4.0
173,California,Daly City,37.6879241,-122.4702079,1.0,2.0,2.0,1.0,0.0,6.0
174,California,Dana Point,33.4672256,-117.6981014,1.0,1.0,3.0,0.0,0.0,5.0
175,California,Danville,37.8215929,-121.9999606,0.0,0.0,0.0,0.0,1.0,1.0
176,California,Davis,38.5449065,-121.7405167,4.0,4.0,2.0,4.0,6.0,20.0
