,FIPS,County Name,State,Population,2012 Crimes,"2012 Crime Rate Per 10,000",2013 Crimes,"2013 Crime Rate Per 10,000",2014 Crimes,"2014 Crime Rate Per 10,000",2015 Crimes,"2015 Crime Rate Per 10,000",2016 Crimes,"2016 Crime Rate Per 10,000",Total Crimes,2012-2016 Combined Crime Rate,2012-2016 Average Crime Rate
11,01023,Northwest Arctic,Alaska,13287.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.526,0.0,0.0,1.0,0.0,1.5051999999999999
12,01025,Apache,Arizona,24847.0,0.0,0.0,1.0,4.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.805
13,01027,Cochise,Arizona,13483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,01029,Coconino,Arizona,14991.0,3.0,20.012,0.0,0.0,3.0,20.012,0.0,0.0,0.0,0.0,6.0,20.012,8.0048
15,01031,Maricopa,Arizona,50991.0,107.0,209.841,84.0,164.735,173.0,339.276,200.0,392.226,144.0,282.403,708.0,209.841,277.6962
16,01033,Mohave,Arizona,54377.0,0.0,0.0,0.0,0.0,1.0,1.839,0.0,0.0,0.0,0.0,1.0,0.0,0.3678
17,01035,Navajo,Arizona,12697.0,1.0,7.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.876,1.5752000000000002
18,01037,Pima,Arizona,10864.0,8.0,73.638,20.0,184.094,7.0,64.433,1.0,9.205,4.0,36.819,40.0,73.638,73.6378
19,01039,Pinal,Arizona,37729.0,4.0,10.602,2.0,5.301,1.0,2.65,2.0,5.301,2.0,5.301,11.0,10.602,5.831
20,01041,Santa Cruz,Arizona,13896.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.196,0.0,0.0,1.0,0.0,1.4392
21,01043,Yavapai,Arizona,81316.0,0.0,0.0,1.0,1.23,1.0,1.23,1.0,1.23,1.0,1.23,4.0,0.0,0.984
22,01045,Yuma,Arizona,49607.0,2.0,4.032,10.0,20.158,13.0,26.206,3.0,6.048,3.0,6.048,31.0,4.032,12.4984
23,01047,Benton,Arkansas,41426.0,2.0,4.828,2.0,4.828,1.0,2.414,0.0,0.0,0.0,0.0,5.0,4.828,2.414
24,01049,Carroll,Arkansas,70937.0,0.0,0.0,1.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.282
25,01051,Clark,Arkansas,80957.0,0.0,0.0,1.0,1.235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24700000000000003
26,01053,Craighead,Arkansas,37875.0,1.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.64,0.528
27,01055,Crittenden,Arkansas,103363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,01057,Desha,Arkansas,16783.0,1.0,5.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.958,1.1916
29,01059,Greene,Arkansas,31573.0,1.0,3.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.167,0.6334
30,01061,Jackson,Arkansas,26765.0,1.0,3.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.736,0.7472000000000001
31,01063,Jefferson,Arkansas,8587.0,1.0,11.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.646,2.3292
32,01065,Lonoke,Arkansas,15159.0,0.0,0.0,2.0,13.193,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.6386
33,01067,Pulaski,Arkansas,17187.0,2.0,11.637,2.0,11.637,0.0,0.0,0.0,0.0,2.0,11.637,6.0,11.637,6.982200000000001
34,01069,Saline,Arkansas,103891.0,1.0,0.963,0.0,0.0,0.0,0.0,1.0,0.963,0.0,0.0,2.0,0.963,0.3852
