,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,_merge,Twitter Handle,Alternate,Twitter
159,Georgia,Warm Springs,Warm Springs,WJSP,FM,88.1,both,@gpbnewmedia,,Twitter
160,Georgia,Waycross,Waycross,WXVS,FM,90.1,both,@mygpb,,Twitter
161,Guam,Agana,,KPRG,FM,89.3,left_only,@kprgfm,,Twitter
162,Hawaii,Honolulu,Honolulu,KHPR,FM,88.1,both,@wearehpr,,Twitter
163,Hawaii,Honolulu,Honolulu,KIPO,FM,89.3,both,@wearehpr,,Twitter
164,Hawaii,Wailuku,Wailuku,KKUA,FM,90.7,both,None,,Twitter
165,Idaho,Boise,,KBSU,AM,730.0,left_only,@kbsu903,,Twitter
166,Idaho,Boise,Boise,KBSU,FM,90.3,both,@kbsu903,,Twitter
167,Idaho,Boise,Boise,KBSX,FM,91.5,both,@kbsx915,,Twitter
168,Idaho,Bonners Ferry,Bonners Ferry,KIBX,FM,92.1,both,@sprlocalnews,,Twitter
169,Idaho,Cottonwood,Cottonwood,KNWO,FM,90.1,both,None,,Twitter
170,Idaho,McCall,McCall,KBSM,FM,91.7,both,@KBSX915,,Twitter
171,Idaho,Moscow,Moscow,KRFA,FM,91.7,both,@nwpbclassical,,Twitter
172,Idaho,Pocatello,Pocatello,KISU,FM,91.1,both,None,,Twitter
173,Idaho,Rexburg,Rexburg,KBYI,FM,100.5,both,@byuidahoradio,,Twitter
174,Idaho,Twin Falls,,KEJZ,AM,1450.0,left_only,None,,Twitter
175,Idaho,Twin Falls,Twin Falls,KBSW,FM,91.7,both,@BSX915,,Twitter
176,Illinois,Carbondale,Carbondale,WSIU,FM,91.9,both,@wsiutv,,Twitter
177,Illinois,Champaign,,WEFT,FM,90.1,left_only,@WFETradio,,Twitter
178,Illinois,Chicago,Chicago,WBEZ,FM,91.5,both,@wbez,,Twitter
179,Illinois,DeKalb,,WNIU,FM,90.5,left_only,@classicalwniu,,Twitter
180,Illinois,Edwardsville,Edwardsville,WSIE,FM,88.7,both,@wsie887thesound,,Twitter
181,Illinois,Freeport,Freeport,WNIE,FM,89.1,both,None,,Twitter
182,Illinois,LaSalle,LaSalle,WNIW,FM,91.5,both,@tristatespr,,Twitter
183,Illinois,Macomb,Macomb,WIUM,FM,91.3,both,@tristatespr,,Twitter
184,Illinois,Mt.Vernon,Mt. Vernon,WVSI,FM,88.9,both,@wsiuradio,,Twitter
185,Illinois,Normal,Normal,WGLT,FM,89.1,both,@wgltnews,,Twitter
186,Illinois,Olney,Olney,WUSI,FM,90.3,both,@wsiuradio,,Twitter
187,Illinois,Peoria,Peoria,WCBU,FM,89.9,both,@WCBURadio,,Twitter
188,Illinois,Pittsfield,Pittsfield,WIPA,FM,89.3,both,@wqub,,Twitter
189,Illinois,Quincy,Quincy,WQUB,FM,90.3,both,None,,Twitter
190,Illinois,Rock Island,Rock Island,WVIK,FM,90.3,both,@wvikfm,,Twitter
191,Illinois,Rockford,DeKalb,WNIJ,FM,89.5,both,@wnijnews,,Twitter
192,Illinois,Rockford,Rockford,WNIJ,FM,89.5,both,@wnijnews,,Twitter
193,Illinois,Springfield,Springfield,WUIS,FM,91.9,both,@nprillinois,,Twitter
194,Illinois,Sterling,Sterling,WNIQ,FM,91.5,both,@wnijnews,,Twitter
195,Illinois,Urbana,Urbana,WILL,AM,580.0,both,@willpublicmedia,,Twitter
196,Illinois,Urbana,,WILL,FM,90.9,left_only,@willpublicmedia,,Twitter
197,Illinois,Warsaw,Warsaw,WIUW,FM,89.5,both,None,,Twitter
198,Indiana,Anderson,Anderson,WBSB,FM,89.5,both,@INPublicRadio,,Twitter
199,Indiana,Bloomington,Bloomington,WFIU,FM,103.7,both,@wfiu,,Twitter
200,Indiana,Elkhart,Elkhart,WVPE,FM,88.1,both,@wvpe,,Twitter
201,Indiana,Evansville,Evansville,WNIN,FM,88.3,both,@WNIN,,Twitter
202,Indiana,Fort Wayne,,WBNI,FM,89.1,left_only,@WBNI941,,Twitter
203,Indiana,Goshen,,WGCS,FM,91.1,left_only,@911TheGlobe,,Twitter
204,Indiana,Hagerstown,Hagerstown,WBSH,FM,91.1,both,@INPublicRadio,,Twitter
205,Indiana,Indianapolis,Indianapolis,WFYI,FM,90.1,both,@wfyi,,Twitter
