State,Agency Type,Agency name,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,,Norco,2,0,0,0,0,0,1,0,0,1,"26,132"
California,,Norwalk,1,0,0,0,0,0,0,0,1,0,"107,453"
California,,Novato,1,1,0,0,0,0,0,0,0,2,"56,263"
California,,Oakland,3,3,3,0,0,0,3,2,2,2,"424,998"
California,,Oceanside,2,2,3,0,0,0,1,3,1,2,"177,340"
California,,Orange,1,0,0,0,0,0,0,1,0,0,"141,841"
California,,Oxnard,4,1,1,0,0,0,2,1,1,2,"209,048"
California,,Pacific Grove,1,0,0,0,0,0,0,1,0,0,"15,795"
California,,Palmdale,6,2,0,0,0,0,5,0,2,1,"159,441"
California,,Palm Springs,3,0,0,0,0,0,1,2,0,0,"47,909"
California,,Palo Alto,3,1,0,0,0,0,1,2,1,0,"67,317"
California,,Paradise,1,0,0,0,0,0,0,1,0,0,"26,532"
California,,Parlier,0,0,1,0,0,0,0,1,0,0,"15,262"
California,,Pasadena,1,1,0,0,0,0,1,0,1,0,"143,288"
California,,Perris,0,1,0,0,0,0,0,0,0,1,"76,260"
California,,Petaluma,1,0,0,0,0,0,1,0,0,0,"60,933"
California,,Placentia,1,0,0,0,0,0,0,1,0,0,"52,800"
California,,Pomona,2,1,2,0,0,0,2,1,2,0,"154,109"
California,,Poway,0,0,1,0,0,0,0,0,0,1,"50,606"
California,,Rancho Cucamonga,4,0,0,0,0,0,0,2,1,1,"177,089"
California,,Rancho Palos Verdes,1,0,0,0,0,0,0,0,1,0,"42,947"
California,,Redding,7,1,2,0,0,0,0,1,7,2,"91,918"
California,,Redlands,4,0,2,0,0,0,1,2,3,0,"71,485"
California,,Redwood City,2,0,2,0,0,0,0,0,1,3,"87,046"
California,,Rialto,1,0,0,0,0,0,0,0,0,1,"103,893"
California,,Richmond,4,0,0,0,0,0,0,1,1,2,"110,868"
California,,Ridgecrest,1,0,0,0,0,0,0,1,0,0,"29,003"
California,,Riverside,5,1,2,0,0,0,2,2,2,2,"325,896"
California,,Roseville,7,4,0,0,0,0,0,1,4,6,"132,566"
California,,Sacramento,2,0,4,0,0,0,4,1,1,0,"495,471"
California,,Salinas,0,1,0,0,0,0,0,1,0,0,"158,729"
California,,San Bernardino,6,0,1,0,0,0,0,1,4,1,"217,303"
California,,San Bruno,2,0,0,0,0,0,0,0,1,1,"43,613"
California,,San Diego,16,7,12,0,0,0,7,10,6,12,"1,413,414"
California,,San Fernando,0,1,1,0,0,0,1,0,0,1,"25,194"
