,State,City,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Latitude,Longitude
255,New York,Plattsburgh,WCEL,FM,91.9,@WMACradio,,44.6994873,-73.4529124
256,New York,Poughkeepsie,WRHV,FM,88.7,@wwfmclassical,,41.7003713,-73.9209701
257,New York,Rochester,WXXI,AM,1370.0,@WXXInews,,43.15657789999999,-77.6088465
258,New York,Rochester,WXXI,FM,91.5,@WXXInews,,43.15657789999999,-77.6088465
259,New York,Saranac Lake,WSLL,FM,90.5,@ncpr,,44.329496,-74.1312662
260,New York,Schenectady,WMHT,FM,89.1,@wmhtpubmedia,,42.8142432,-73.9395687
261,New York,Selden,WSUF,FM,89.9,@wshunews,,40.8664873,-73.0356625
263,New York,Syracuse,WAER,FM,88.3,@waer883,,43.0481221,-76.14742439999999
264,New York,Syracuse,WCNY,FM,91.3,@wcny,,43.0481221,-76.14742439999999
267,New York,Utica,WUNY,FM,89.5,@wcny,,43.100903,-75.232664
271,New York,Buffalo,WNED,AM,970.0,@wned,,42.88644679999999,-78.8783689
272,New York,Buffalo,WNED,FM,89.3,@wned,,42.88644679999999,-78.8783689
273,New York,Geneva,WEOS,FM,89.7,@WEOSmorning,,42.8679836,-76.985557
276,New York,Southampton,WLIU,FM,88.3,@WLIU_BK,,40.8598656,-72.5678041
278,New York,Boonville,WXLB,FM,91.7,@ncpr,,43.4836801,-75.33656069999999
279,New York,Buffalo,WNED,FM,94.5,@wned,@wnedtv,42.88644679999999,-78.8783689
281,New York,Fredonia,WCVF,FM,91.3,@fredoniaradio,,42.4400576,-79.3317105
282,New York,Geneva,WEOS,FM,89.5,@WEOSmorning,,42.8679836,-76.985557
283,New York,Gouverneur,WXLB,FM,90.5,@ncpr,,44.33672809999999,-75.462993
284,New York,Hamilton,WRCU,FM,90.1,@wrcucolgate,,42.8270136,-75.5446238
285,New York,Houghton,WXXY,FM,90.3,@WXXIrochester,,42.4233981,-78.1572319
286,New York,Jamestown,WNJA,FM,89.7,@wned,,42.0970023,-79.23532589999999
288,New York,Peru,WXLU,FM,88.1,@ncpr,,44.5731475,-73.54523089999999
289,New York,Rochester,WRUR,FM,88.5,@wrurfm,,43.15657789999999,-77.6088465
290,New York,Southampton,WPPB,FM,88.3,@wppb,,40.8598656,-72.5678041
291,New York,Tupper Lake,WXLS,FM,88.3,@ncpr,,44.2239488,-74.4640575
292,North Carolina,Asheville,WCQS,FM,88.1,@news_bpr,,35.5950581,-82.5514869
293,North Carolina,Atlantic Beach,WBJD,FM,91.5,@publicradioeast,,34.6990505,-76.7402108
295,North Carolina,Chapel Hill,WUNC,FM,91.5,@wunc,,35.9131996,-79.0558445
296,North Carolina,Charlotte,WFAE,FM,90.7,@wfae,,35.2270869,-80.8431267
297,North Carolina,Davidson,WDAV,FM,89.9,@wdav,,35.4993031,-80.8486846
298,North Carolina,Durham,WNCU,FM,90.7,@wncu,,35.9940329,-78.898619
299,North Carolina,Fayetteville,WFSS,FM,91.9,@wunc,,35.0526641,-78.87835849999999
300,North Carolina,Franklin,WFQS,FM,91.3,@news_bpr,,35.1823171,-83.3815429
303,North Carolina,New Bern,WTEB,FM,89.3,@publicradioeast,,35.108493,-77.04411429999999
304,North Carolina,Spindale,WNCW,FM,88.7,@wncw,,35.3601212,-81.929271
305,North Carolina,Wilmington,WHQR,FM,91.3,@whqr,,34.2257255,-77.9447102
306,North Carolina,Winston-Salem,WFDD,FM,88.5,@wfdd,,36.09985959999999,-80.244216
307,North Carolina,Kingston,WKNS,FM,90.5,@publicradioeast,,35.2626635,-77.5816353
309,North Carolina,Rocky Mount,WRQM,FM,90.0,@wunc,,35.9382103,-77.7905339
310,North Carolina,Elizabeth City,WRVS,FM,89.9,@wrvs899,,36.2946008,-76.2510461
311,North Carolina,Kinston,WKNS,FM,90.3,@publicradioeast,,35.2626635,-77.5816353
312,North Carolina,Manteo,WUND,FM,88.9,@wunc,,35.9082256,-75.67573019999999
313,North Carolina,New Bern,WZNB,FM,88.5,@publicradioeast,,35.108493,-77.04411429999999
314,North Carolina,Raleigh,WSHA,FM,88.9,@889fmwsha,,35.7795897,-78.6381787
315,North Carolina,Raleigh,WCPE,FM,89.7,@wcpe,,35.7795897,-78.6381787
316,North Carolina,Rocky Mount,WRQM,FM,90.9,@wunc,,35.9382103,-77.7905339
317,North Carolina,Winston-Salem,WSNC,FM,90.5,@wsncradio,,36.09985959999999,-80.244216
318,North Dakota,Belcourt,KEYA,FM,88.5,@KEYApublicradio,,48.8391712,-99.7448689
