City,State,Station Identifier,AM/FM Number,AM/FM Number
Lawrence,Kansas,KANU,FM,91.5
Pittsburg,Kansas,KRPS,FM,89.9
Salina,Kansas,KHCD,FM,89.5
Wichita,Kansas,KMUW,FM,89.1
Booneville,Kentucky,WOCS,FM,88.3
Bowling Green,Kentucky,WKYU,FM,88.9
Elizabethtown,Kentucky,WKUE,FM,90.9
Georgetown,Kentucky,WRVG,FM,89.9
Hazard,Kentucky,WEKH,FM,90.9
Henderson,Kentucky,WKPB,FM,89.5
Highland Heights,Kentucky,WNKU,FM,89.7
Lexington,Kentucky,WUKY,FM,91.3
Louisville,Kentucky,WFPK,FM,91.9
Louisville,Kentucky,WFPL,FM,89.3
Morehead,Kentucky,WMKY,FM,90.3
Murray,Kentucky,WKMS,FM,91.3
Richmond,Kentucky,WEKU,FM,88.9
Somerset,Kentucky,WDCL,FM,89.7
Alexandria,Louisana,KLSA,FM,90.7
Baton Rouge,Louisana,WBRH,FM,90.3
Baton Rouge,Louisana,WRKF,FM,89.3
Lafayette,Louisana,KRVS,FM,88.7
Monroe,Louisana,KEDM,FM,90.3
New Orleans,Louisana,WWNO,FM,89.9
Shreveport,Louisana,KDAQ,FM,89.9
Thibodaux,Louisana,KTLN,FM,90.5
Bangor,Maine,WMEH,FM,90.9
Calais,Maine,WMED,FM,89.7
Fort Kent,Maine,WMEF,FM,106.5
Lewiston,Maine,WMEA,FM,90.1
Presque Isle,Maine,WMEM,FM,106.1
Waterville,Maine,WMEW,FM,91.3
Baltimore,Maryland,WEAA,FM,88.9
Baltimore,Maryland,WYPR,FM,88.1
Frostburg,Maryland,WFWM,FM,91.9
Hagerstown,Maryland,WETH,FM,89.1
Ocean City,Maryland,WSDL,FM,90.7
Princess Anne,Maryland,WESM,FM,91.3
Salisbury,Maryland,WSCL,FM,89.5
Worton,Maryland,WKHS,FM,90.5
Amherst,Massachusetts,WFCR,FM,88.5
Amherst,Massachusetts,WPNI,AM,1430
Boston,Massachusetts,WBUR,FM,90.9
Boston,Massachusetts,WGBH,FM,89.7
Boston,Massachusetts,WUMB,FM,91.9
Falmouth,Massachusetts,WFPB,FM,91.9
Great Barrington,Massachusetts,WAMQ,FM,105.1
Harwich,Massachusetts,WCCT,FM,90.3
Nantucket,Massachusetts,WNAN,FM,91.1
Newburyport,Massachusetts,WNAF,FM,91.7
Orleans,Massachusetts,WFPB,AM,1170
Sandwich,Massachusetts,WSDH,FM,91.5
W.Yarmouth,Massachusetts,WBUR,AM,1240
Woods Hole,Massachusetts,WCAI,FM,90.1
Worcester,Massachusetts,WBPR,FM,91.9
Worcester,Massachusetts,WICN,FM,90.5
Allendale,Michigan,WGVU,FM,88.5
Alpena,Michigan,WCML,FM,91.7
Ann Arbor,Michigan,WUOM,FM,91.7
Bay City,Michigan,WUCX,FM,90.1
Detroit,Michigan,WDET,FM,101.9
East Jordan,Michigan,WIZY,FM,100.9
East Lansing,Michigan,WKAR,AM,870
East Lansing,Michigan,WKAR,FM,90.5
Flint,Michigan,WFUM,FM,91.1
Grand Rapids,Michigan,WBLU,FM,88.9
Grand Rapids,Michigan,WVGR,FM,104.1
Harbor Springs,Michigan,WCMW,FM,103.9
Houghton,Michigan,WGGL,FM,91.9
Interlochen,Michigan,WIAA,FM,88.7
Kalamazoo,Michigan,WMUK,FM,102.1
Kentwood,Michigan,WGVU,AM,1480
Lansing,Michigan,WLNZ,FM,89.7
Manistee,Michigan,WVXM,FM,97.7
Marquette,Michigan,WNMU,FM,90.1
Mt. Pleasant,Michigan,WCMU,FM,89.5
Muskegon,Michigan,WGVS,AM,850
Oscoda,Michigan,WCMB,FM,95.7
Rogers City,Michigan,WVXA,FM,96.7
Sault Ste. Marie,Michigan,WCMZ,FM,98.3
Standish,Michigan,WWCM,FM,96.9
Traverse City,Michigan,WICA,FM,91.5
Twin Lake,Michigan,WBLV,FM,90.3
Whitehall,Michigan,WGVS,FM,95.3
Ypsilanti,Michigan,WEMU,FM,89.1
Appleton,Minnesota,KNCM,FM,88.5
Bemidji,Minnesota,KNBJ,FM,91.3
Brainerd,Minnesota,KBPR,FM,90.7
Buhl,Minnesota,WIRN,FM,92.5
Collegeville,Minnesota,KNSR,FM,88.9
Duluth,Minnesota,WSCN,FM,100.5
Grand Rapids,Minnesota,KAXE,FM,91.7
La Crescent,Minnesota,KXLC,FM,91.1
