,Index,State,City,Wiki_name,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Twitter,_merge,Empty_at_load
714,18,Alaska,Fairbanks,Fairbanks,KUAC,FM,89.9,@kuacfmtv,,Twitter,both,
715,50,Arkansas,Fayetteville,Fayetteville,KUAF,FM,91.3,@kuaf,,Twitter,both,
716,53,Arkansas,Little Rock,Little Rock,KUAR,FM,89.1,@kuarpublicradio,,Twitter,both,
717,106,Colorado,Greeley,Greeley,KUNC,FM,91.5,@kunc,,Twitter,both,
718,84,California,Santa Cruz,,KUSP,FM,88.9,@kusp,,Twitter,left_only,
719,103,Colorado,Denver,Denver,KUVO,FM,89.3,@kuvojazz,,Twitter,both,
720,77,California,San Bernardino,San Bernardino,KVCR,FM,91.9,@kvcr_tvfm,,Twitter,both,
721,109,Colorado,Montrose,Montrose,KVMT,FM,89.1,@kvnfradio,,Twitter,both,
722,110,Colorado,Paonia,Paonia,KVNF,FM,90.9,@kvnfradio,,Twitter,both,
723,55,California,Bakersfield,Bakersfield,KPRX,FM,89.1,@kvpr,,Twitter,both,
724,59,California,Fresno,Fresno,KVPR,FM,89.3,@kvpr,,Twitter,both,
725,224,Iowa,Sioux City,Sioux City,KWIT,FM,90.3,@kwitkoji,,Twitter,both,
726,349,Missouri,Maryville,Maryville,KXCV,FM,90.5,@kxcvkrnw,,Twitter,both,
727,13,Alaska,Barrow,Barrow,KBRW,AM,680.0,@kyuknews,,Twitter,both,
728,14,Alaska,Barrow,Barrow,KBRW,FM,91.9,@kyuknews,,Twitter,both,
729,15,Alaska,Bethel,Bethel,KYUK,AM,640.0,@kyuknews,,Twitter,both,
730,72,California,Philo,Philo,KZYX,FM,90.7,@kzyxmusic,,Twitter,both,
731,92,California,Willits,Willits,KZYZ,FM,91.5,@kzyzfm,,Twitter,both,
732,302,Michigan,Lansing,,WLNZ,FM,89.7,@LCCRadio,,Twitter,left_only,
733,256,Maine,Bangor,Bangor,WMEH,FM,90.9,@MainePublic,,Twitter,both,
734,257,Maine,Calais,Calais,WMED,FM,89.7,@MainePublic,,Twitter,both,
735,260,Maine,Presque Isle,Presque Isle,WMEM,FM,106.1,@mainepublic,,Twitter,both,
736,261,Maine,Waterville,Waterville,WMEW,FM,91.3,@mainepublic,,Twitter,both,
737,288,Michigan,Ann Arbor,Ann Arbor,WUOM,FM,91.7,@MichiganRadio,,Twitter,both,
738,294,Michigan,Flint,Flint,WFUM,FM,91.1,@michiganradio,,Twitter,both,
739,296,Michigan,Grand Rapids,Grand Rapids,WVGR,FM,104.1,@michiganradio,,Twitter,both,
740,337,Mississippi,Jackson,Jackson,WMPN,FM,91.3,@MPBNews,@MPBOnline,Twitter,both,
741,259,Maine,Lewiston,Portland,WMEA,FM,90.1,@MPBNnews,,Twitter,both,
742,331,Mississippi,Biloxi,Biloxi,WMAH,FM,90.3,@mpbonline,,Twitter,both,
743,338,Mississippi,Lorman,Lorman,WPRL,FM,91.7,@mpbonline,,Twitter,both,
744,339,Mississippi,Meridian,Meridian,WMAW,FM,88.1,@mpbonline,,Twitter,both,
745,341,Mississippi,Oxford,Oxford,WMAV,FM,90.3,@mpbonline,,Twitter,both,
746,315,Minnesota,Appleton,Appleton,KNCM,FM,88.5,@mprnews,,Twitter,both,
747,316,Minnesota,Bemidji,Bemidji,KNBJ,FM,91.3,@mprnews,,Twitter,both,
748,318,Minnesota,Buhl,Buhl,WIRN,FM,92.5,@mprnews,,Twitter,both,
749,319,Minnesota,Collegeville,St. Cloud,KNSR,FM,88.9,@mprnews,,Twitter,both,
750,320,Minnesota,Duluth,Cloquet,WSCN,FM,100.5,@mprnews,,Twitter,both,
751,322,Minnesota,La Crescent,La Crescent,KXLC,FM,91.1,@mprnews,,Twitter,both,
752,323,Minnesota,Moorhead,Moorhead,KCCD,FM,90.3,@mprnews,,Twitter,both,
753,325,Minnesota,Rochester,Rochester,KMSE,FM,88.7,@mprnews,,Twitter,both,
754,327,Minnesota,St. Paul,Minneapolis,KNOW,FM,91.1,@mprnews,,Twitter,both,
755,328,Minnesota,St. Peters,Mankato,KNGA,FM,91.5,@mprnews,,Twitter,both,
756,330,Minnesota,Worthington,Worthington,KNSW,FM,91.7,@mprnews,,Twitter,both,
757,324,Minnesota,Northfield,,WCAL,FM,89.3,@mprnews,,Twitter,left_only,
758,326,Minnesota,Rochester,,KZSE,FM,90.7,@mprnews,,Twitter,left_only,
759,244,Kentucky,Morehead,Morehead,WMKY,FM,90.3,@mspr903fm,,Twitter,both,
760,361,Montana,Helena,Helena,KUHM,FM,91.7,@mtpublicradio,,Twitter,both,
761,362,Montana,Kalispell,Kalispell,KUKL,FM,89.9,@mtpublicradio,,Twitter,both,
762,364,Montana,Missoula,Missoula,KUFM,FM,89.1,@mtpublicradio,,Twitter,both,
763,143,Georgia,Albany,Albany,WUNV,FM,91.7,@mygpb,,Twitter,both,
764,149,Georgia,Brunswick,Brunswick,WWIO,FM,89.1,@mygpb,,Twitter,both,
765,152,Georgia,Dahlonega,Dahlonega,WNGU,FM,89.5,@mygpb,,Twitter,both,
766,153,Georgia,Demorest,Demorest,WPPR,FM,88.3,@mygpb,,Twitter,both,
767,154,Georgia,Ft. Gaines,Fort Gaines,WJWV,FM,90.9,@mygpb,,Twitter,both,
768,158,Georgia,Valdosta,Valdosta,WWET,FM,91.7,@mygpb,,Twitter,both,
769,160,Georgia,Waycross,Waycross,WXVS,FM,90.1,@mygpb,,Twitter,both,
770,155,Georgia,Macon,,WDCO,FM,89.7,@mygpb,,Twitter,left_only,
771,368,Nebraska,Hastings,Hastings,KHNE,FM,89.1,@NETNebraska,,Twitter,both,
772,193,Illinois,Springfield,Springfield,WUIS,FM,91.9,@nprillinois,,Twitter,both,
773,57,California,Chico,Chico,KCHO,FM,91.7,@nsprnews,,Twitter,both,
774,73,California,Redding,Redding,KFPR,FM,88.9,@nsprnews,,Twitter,both,
775,171,Idaho,Moscow,Moscow,KRFA,FM,91.7,@nwpbclassical,,Twitter,both,
776,24,Alaska,Kenai,Kenai,KDLL,FM,91.9,@pickle_hill,,Twitter,both,
777,229,Kansas,Hutchinson,Hutchinson,KHCC,FM,90.1,@radiokansas,,Twitter,both,
778,232,Kansas,Salina,Salina,KHCD,FM,89.5,@radiokansas,,Twitter,both,
779,30,Alaska,Sitka,Sitka,KCAW,FM,104.7,@ravenradio,,Twitter,both,
780,248,Louisana,Alexandria,,KLSA,FM,90.7,@rrrpublicradio,,Twitter,left_only,
781,254,Louisana,Shreveport,,KDAQ,FM,89.9,@rrrpublicradio,,Twitter,left_only,
782,168,Idaho,Bonners Ferry,Bonners Ferry,KIBX,FM,92.1,@sprlocalnews,,Twitter,both,
783,249,Louisana,Baton Rouge,,WBRH,FM,90.3,@talk1073,,Twitter,left_only,
784,329,Minnesota,Thief River Falls,Thief River Falls,KNTN,FM,102.7,@TRFRADIO,,Twitter,both,
785,182,Illinois,LaSalle,LaSalle,WNIW,FM,91.5,@tristatespr,,Twitter,both,
786,183,Illinois,Macomb,Macomb,WIUM,FM,91.3,@tristatespr,,Twitter,both,
787,1,Alabama,Dothan,Dothan,WRWA,FM,88.7,@troypublicradio,,Twitter,both,
788,8,Alabama,Montgomery/Troy,Montgomery/Troy,WTSU,FM,89.9,@troypublicradio,,Twitter,both,
789,151,Georgia,Columbus,Columbus,WTJB,FM,91.7,@TROYUNews,,Twitter,both,
790,145,Georgia,Atlanta,Atlanta,WABE,FM,90.1,@wabenews,,Twitter,both,
791,276,Massachusetts,Great Barrington,Great Barrington,WAMQ,FM,105.1,@wamcradio,,Twitter,both,
792,122,District of Columbia,Washington,Washington,WAMU,FM,88.5,@wamu885,,Twitter,both,
793,206,Indiana,Lafayette,West Lafayette,WBAA,AM,920.0,@wbaanews,@wbaaradio,Twitter,both,
794,213,Indiana,West Lafayette,West Lafayette,WBAA,FM,101.3,@wbaaradio,@wbaanews,Twitter,both,
795,178,Illinois,Chicago,Chicago,WBEZ,FM,91.5,@wbez,,Twitter,both,
796,0,Alabama,Birmingham,Birmingham,WBHM,FM,90.3,@WBHM,,Twitter,both,
797,2,Alabama,Gadsden,Gadsden,WSGN,FM,91.5,@WBHM903,,Twitter,both,
798,202,Indiana,Fort Wayne,,WBNI,FM,89.1,@WBNI941,,Twitter,left_only,
799,210,Indiana,Orland,,WBOI,FM,91.3,@wboi,,Twitter,left_only,
800,272,Massachusetts,Boston,Boston,WBUR,FM,90.9,@WBUR,,Twitter,both,
801,282,Massachusetts,W.Yarmouth,,WBUR,AM,1240.0,@wbur,,Twitter,left_only,
802,283,Massachusetts,Woods Hole,Woods Hole,WCAI,FM,90.1,@wcai_npr,,Twitter,both,
803,187,Illinois,Peoria,Peoria,WCBU,FM,89.9,@WCBURadio,,Twitter,both,
804,287,Michigan,Alpena,Alpena,WCML,FM,91.7,@wcmunews,,Twitter,both,
805,297,Michigan,Harbor Springs,Harbor Springs,WCMW,FM,103.9,@wcmunews,,Twitter,both,
806,305,Michigan,Mt. Pleasant,Mt. Pleasant,WCMU,FM,89.5,@WCMUNews,@WCMUTV,Twitter,both,
807,309,Michigan,Sault Ste. Marie,Sault Ste. Marie,WCMZ,FM,98.3,@wcmunews,@wcmutv,Twitter,both,
808,290,Michigan,Detroit,Detroit,WDET,FM,101.9,@wdet,,Twitter,both,
809,162,Hawaii,Honolulu,Honolulu,KHPR,FM,88.1,@wearehpr,,Twitter,both,
810,163,Hawaii,Honolulu,Honolulu,KIPO,FM,89.3,@wearehpr,,Twitter,both,
811,120,Connecticut,Willimantic,Willimantic,WECS,FM,90.1,@wecsfm,,Twitter,both,
812,314,Michigan,Ypsilanti,Ypsilanti,WEMU,FM,89.1,@wemu891,,Twitter,both,
813,123,District of Columbia,Washington,Washington,WETA,FM,90.9,@wetatvfm,,Twitter,both,
814,270,Massachusetts,Amherst,Amherst,WFCR,FM,88.5,@wfcr885,,Twitter,both,
815,177,Illinois,Champaign,,WEFT,FM,90.1,@WFETradio,,Twitter,left_only,
816,130,Florida,Melbourne,Melbourne,WFIT,FM,89.5,@wfit895fm,,Twitter,both,
817,199,Indiana,Bloomington,Bloomington,WFIU,FM,103.7,@wfiu,,Twitter,both,
818,242,Kentucky,Louisville,Louisville,WFPK,FM,91.9,@wfpk,,Twitter,both,
819,243,Kentucky,Louisville,Louisville,WFPL,FM,89.3,@wfplnews,,Twitter,both,
820,134,Florida,Panama City,Panama City,WFSW,FM,89.1,@wfsu,,Twitter,both,
821,138,Florida,Tallahassee,Tallahassee,WFSQ,FM,91.5,@wfsumedia,,Twitter,both,
822,139,Florida,Tallahassee,Tallahassee,WFSU,FM,88.9,@wfsumedia,,Twitter,both,
823,205,Indiana,Indianapolis,Indianapolis,WFYI,FM,90.1,@wfyi,,Twitter,both,
824,273,Massachusetts,Boston,Boston,WGBH,FM,89.7,@wgbh,,Twitter,both,
825,124,Florida,Ft. Myers,Ft. Myers,WGCU,FM,90.1,@wgcu,,Twitter,both,
826,185,Illinois,Normal,Normal,WGLT,FM,89.1,@wgltnews,,Twitter,both,
827,286,Michigan,Allendale,Allendale,WGVU,FM,88.5,@WGVUPublicMedia,,Twitter,both,
828,301,Michigan,Kentwood,Kentwood,WGVU,AM,1480.0,@WGVUPublicMedia,,Twitter,both,
829,6,Alabama,Mobile,Mobile,WHIL,FM,91.3,@WHILFM,,Twitter,both,
830,285,Massachusetts,Worcester,Worcester,WICN,FM,90.5,@WICN905,,Twitter,both,
831,195,Illinois,Urbana,Urbana,WILL,AM,580.0,@willpublicmedia,,Twitter,both,
832,196,Illinois,Urbana,,WILL,FM,90.9,@willpublicmedia,,Twitter,left_only,
833,3,Alabama,Huntsville,Huntsville,WJAB,FM,90.9,@WJAB-TV,,Twitter,both,
834,128,Florida,Jacksonville,Jacksonville,WJCT,FM,89.9,@wjctjax,,Twitter,both,
835,292,Michigan,East Lansing,East Lansing,WKAR,AM,870.0,@wkar,,Twitter,both,
836,293,Michigan,East Lansing,East Lansing,WKAR,FM,90.5,@wkar,,Twitter,both,
837,135,Florida,Panama City,Panama City,WKGC,AM,1480.0,@WKGCNews,,Twitter,both,
838,136,Florida,Panama City,Panama City,WKGC,FM,90.7,@WKGCNews,,Twitter,both,
839,269,Maryland,Worton,Worton,WKHS,FM,90.5,@wkhsradio,,Twitter,both,
840,245,Kentucky,Murray,Murray,WKMS,FM,91.3,@wkms,,Twitter,both,
841,235,Kentucky,Bowling Green,Bowling Green,WKYU,FM,88.9,@wkupublicradio,,Twitter,both,
842,236,Kentucky,Elizabethtown,Elizabethtown,WKUE,FM,90.9,@wkupublicradio,,Twitter,both,
843,239,Kentucky,Henderson,Henderson,WKPB,FM,89.5,@wkupublicradio,,Twitter,both,
844,247,Kentucky,Somerset,Somerset,WDCL,FM,89.7,@wkupublicradio,,Twitter,both,
845,5,Alabama,Jacksonville,Jacksonville,WLJS,FM,91.9,@WLJS_919,,Twitter,both,
846,4,Alabama,Huntsville,Huntsville,WLRH,FM,89.3,@WLRH_893FMHD,,Twitter,both,
847,131,Florida,Miami,Miami,WLRN,FM,91.3,@wlrn,,Twitter,both,
848,132,Florida,Orlando,Orlando,WMFE,FM,90.7,@wmfeorlando,,Twitter,both,
849,140,Florida,Tampa,Tampa,WMNF,FM,88.5,@wmnf,,Twitter,both,
850,300,Michigan,Kalamazoo,Kalamazoo,WMUK,FM,102.1,@wmuk1021,,Twitter,both,
851,191,Illinois,Rockford,DeKalb,WNIJ,FM,89.5,@wnijnews,,Twitter,both,
852,192,Illinois,Rockford,Rockford,WNIJ,FM,89.5,@wnijnews,,Twitter,both,
853,194,Illinois,Sterling,Sterling,WNIQ,FM,91.5,@wnijnews,,Twitter,both,
854,201,Indiana,Evansville,Evansville,WNIN,FM,88.3,@WNIN,,Twitter,both,
855,240,Kentucky,Highland Heights,,WNKU,FM,89.7,@wnku,,Twitter,left_only,
856,304,Michigan,Marquette,Marquette,WNMU,FM,90.1,@WNMU,,Twitter,both,
857,118,Connecticut,Stamford,Stamford,WEDW,FM,88.5,@wnpr,,Twitter,both,
858,116,Connecticut,Meriden,,WPKT,FM,90.5,@wnpr,,Twitter,left_only,
859,117,Connecticut,Norwich,,WNPR,FM,89.1,@wnpr,,Twitter,left_only,
860,125,Florida,Ft. Pierce,Ft. Pierce,WQCS,FM,88.9,@wqcsnews,,Twitter,both,
861,188,Illinois,Pittsfield,Pittsfield,WIPA,FM,89.3,@wqub,,Twitter,both,
862,147,Georgia,Atlanta,,WRFG,FM,89.3,@wrfgatlanta,,Twitter,left_only,
863,250,Louisana,Baton Rouge,,WRKF,FM,89.3,@wrkf,,Twitter,left_only,
864,121,Delaware,Dover,Dover,WRTX,FM,91.7,@wrtimusic,,Twitter,both,
865,237,Kentucky,Georgetown,,WRVG,FM,89.9,@wrvg,,Twitter,left_only,
866,266,Maryland,Ocean City,Ocean City,WSDL,FM,90.7,@wscl_wsdl,,Twitter,both,
867,268,Maryland,Salisbury,Salisbury,WSCL,FM,89.5,@wscl_wsdl,,Twitter,both,
868,281,Massachusetts,Sandwich,Sandwich,WSDH,FM,91.5,@WSDHradio,,Twitter,both,
869,115,Connecticut,Fairfield,Fairfield,WSHU,FM,91.1,@wshupublicradio,,Twitter,both,
870,119,Connecticut,Westport,Westport,WSHU,AM,1260.0,@wshupublicradio,,Twitter,both,
871,180,Illinois,Edwardsville,Edwardsville,WSIE,FM,88.7,@wsie887thesound,,Twitter,both,
872,184,Illinois,Mt.Vernon,Mt. Vernon,WVSI,FM,88.9,@wsiuradio,,Twitter,both,
873,186,Illinois,Olney,Olney,WUSI,FM,90.3,@wsiuradio,,Twitter,both,
874,176,Illinois,Carbondale,Carbondale,WSIU,FM,91.9,@wsiutv,,Twitter,both,
875,133,Florida,Orlando,Orlando,WUCF,FM,89.9,@wucftv,,Twitter,both,
876,289,Michigan,Bay City,Bay City,WUCX,FM,90.1,@wucx,,Twitter,both,
877,127,Florida,Inverness,Inverness,WJUF,FM,90.1,@wuftmedia,,Twitter,both,
878,126,Florida,Gainesville,Gainesville,WUFT,FM,89.1,@wuftnews,,Twitter,both,
879,144,Georgia,Athens,Athens,WUGA,FM,91.7,@wugafm,,Twitter,both,
880,241,Kentucky,Lexington,Lexington,WUKY,FM,91.3,@wuky,,Twitter,both,
881,274,Massachusetts,Boston,Boston,WUMB,FM,91.9,@wumbradio,,Twitter,both,
882,275,Massachusetts,Falmouth,Falmouth,WFPB,FM,91.9,@wumbradio,,Twitter,both,
883,280,Massachusetts,Orleans,Orleans,WFPB,AM,1170.0,@wumbradio,,Twitter,both,
884,284,Massachusetts,Worcester,Worcester,WBPR,FM,91.9,@wumbradio,,Twitter,both,
885,279,Massachusetts,Newburyport,,WNAF,FM,91.7,@wumbradio,,Twitter,left_only,
886,141,Florida,Tampa,Tampa,WUSF,FM,89.7,@wusf,,Twitter,both,
887,137,Florida,Pensacola,Pensacola,WUWF,FM,88.1,@wuwf,,Twitter,both,
888,7,Alabama,Montgomery,Montgomery,WVAS,FM,90.7,@WVAS,,Twitter,both,
889,190,Illinois,Rock Island,Rock Island,WVIK,FM,90.3,@wvikfm,,Twitter,both,
890,200,Indiana,Elkhart,Elkhart,WVPE,FM,88.1,@wvpe,,Twitter,both,
891,253,Louisana,New Orleans,,WWNO,FM,89.9,@wwno,,Twitter,left_only,
892,255,Louisana,Thibodaux,,KTLN,FM,90.5,@wwno,,Twitter,left_only,
893,142,Florida,West Palm Beach,,WXEL,FM,90.7,@wxeltv,,Twitter,left_only,
894,263,Maryland,Baltimore,Baltimore,WYPR,FM,88.1,@wypr881FM,,Twitter,both,
895,264,Maryland,Frostburg,Frostburg,WFWM,FM,91.9,@xfsrfrostburg,,Twitter,both,
